StructuredDataCapture : Validation Results
=========================================

err = 45, warn = 72, info = 429
$--
Generated $--. FHIR version $-- for hl7.fhir.uv.sdc#$-- (canonical = http://hl7.org/fhir/uv/sdc)
 Build Errors : 225 / 5 / 0
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Bundle-map-population-example : 0 / 6 / 12
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Bundle-questionnaire-sdc-profile-example : 2 / 0 / 164
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-archiver : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-designer : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-filler : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-manager : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-receiver : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CapabilityStatement-sdc-form-response-manager : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-CSPHQ9 : 1 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-assemble-expectation : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-chf-codes : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-collapsible : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-entryMode : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-launchContext : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-questionnaire-answer-constraint : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/CodeSystem-temp : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/ImplementationGuide-hl7.fhir.uv.sdc : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Library-sdc-CHF : 0 / 0 / 6
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-assemble : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-next-question : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-populate : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-populatehtml : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-populatelink : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-Questionnaire-process-response : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/OperationDefinition-QuestionnaireResponse-extract : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Parameters-sdc-modular-root-assembled : 1 / 1 / 28
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-SDOHCC-QuestionnaireHungerVitalSign : 2 / 0 / 14
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-anc-quick-check : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-demographics : 0 / 0 / 7
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-PHQ9 : 0 / 0 / 11
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-PHQ9-search : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-cap : 0 / 0 / 5
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-context-expression : 0 / 0 / 8
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-cqf-PHQ9 : 0 / 0 / 4
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-form-behavior : 10 / 0 / 18
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-framingham-hchd-lhc : 0 / 0 / 34
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-hunger-vital-signs : 0 / 0 / 17
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-image-options : 0 / 0 / 5
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-loinc : 1 / 0 / 36
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-multi-subject : 0 / 0 / 6
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-ordinal-value : 0 / 0 / 15
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-render : 1 / 0 / 12
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-ussg-fht : 0 / 0 / 33
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-profile-example-weight-height-tracking-panel : 0 / 0 / 14
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-all-data-types : 0 / 0 / 4
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-enableWhen : 0 / 0 / 4
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-fhirpath-prepop-candexpr : 0 / 0 / 7
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-fhirpath-prepop-initialexpression : 0 / 0 / 4
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-fhirpath-prepop-source-query : 0 / 0 / 12
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-initialvalue : 0 / 0 / 5
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-initialvalue-multiple : 0 / 0 / 5
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-nested-groups : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-questionnaire-sdc-test-required-radios : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-sdc-modular-contact : 0 / 0 / 4
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-sdc-modular-name : 0 / 0 / 7
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/Questionnaire-sdc-modular-root : 0 / 0 / 8
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-adaptive-questionnaireresponse-sdc-example-phq9 : 0 / 19 / 8
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-map-populate-out : 0 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-questionnaireresponse-sdc-example-ussg-fht-answers : 2 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-questionnaireresponse-sdc-profile-example : 0 / 5 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-questionnaireresponse-sdc-profile-example-PHQ9 : 0 / 18 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-questionnaireresponse-sdc-profile-example-loinc : 0 / 1 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/QuestionnaireResponse-questionnaireresponse-sdc-profile-example-multi-subject : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/SearchParameter-questionnaire-assemble-expectation : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/SearchParameter-questionnaire-assembledFrom : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/SearchParameter-questionnaire-definition : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/ServiceRequest-example : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-parameters-questionnaire-assemble-out : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-parameters-questionnaire-next-question-in : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-parameters-questionnaire-next-question-out : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-parameters-questionnaire-process-response-in : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-parameters-questionnaireresponse-extract-in : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-codesystem : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-library : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-question-library : 3 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire : 1 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-adapt : 0 / 1 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-adapt-srch : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-answerExpression : 0 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-answerOptionsToggleExpression : 0 / 2 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-assemble-expectation : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-assembleContext : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-assembledFrom : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-behave : 0 / 0 / 3
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-calculatedExpression : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-candidateExpression : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-choiceColumn : 0 / 3 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-collapsible : 0 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-contextExpression : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-enableWhenExpression : 1 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-endpoint : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-entryMode : 0 / 0 / 2
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-extr-defn : 0 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-extr-obsn : 0 / 0 / 1
 /Users/grahamegrieve/work/test-igs/hl7.fhir.uv.sdc/fsh-generated/resources/StructureDefinition-sdc-questionnaire-extr-smap : 0 / 1 / 1
